Leftmost point: (119.68, 913.44)
Top Curve:
924.2, 886.03
924.2, 886.03
923.2, 888.37
922.21, 890.71
917.22, 897.39
912.23, 904.08
907.25, 908.92
902.26, 913.77
901.43, 914.1
900.6, 914.44
897.77, 916.78
894.95, 919.12
893.78, 919.45
892.62, 919.79
888.63, 922.13
884.64, 924.47
883.31, 924.8
881.98, 925.13
880.32, 926.14
878.66, 927.14
876.5, 927.47
874.34, 927.81
871.84, 928.98
869.35, 930.15
863.2, 931.48
857.05, 932.82
510.64, 932.82
164.23, 932.82
161.57, 932.32
158.91, 931.82
157.91, 931.32
156.91, 930.82
153.76, 930.15
150.6, 929.48
148.94, 928.64
147.27, 927.81
145.28, 927.47
143.28, 927.14
134.97, 922.96
126.66, 918.78
123.17, 916.11
119.68, 913.44

Bottom Curve:
119.68, 913.44
119.85, 912.77
120.01, 912.1
120.35, 911.93
120.68, 911.76
122.17, 912.77
123.67, 913.77
126.83, 914.1
129.99, 914.44
132.65, 915.61
135.31, 916.78
138.3, 916.95
141.29, 917.11
143.95, 918.28
146.61, 919.45
149.6, 919.62
152.59, 919.79
155.09, 920.96
157.58, 922.13
161.74, 922.29
165.89, 922.46
169.71, 923.63
173.54, 924.8
178.36, 924.97
183.18, 925.13
187.0, 926.3
190.82, 927.47
198.3, 927.64
205.78, 927.81
212.27, 928.81
218.75, 929.81
243.35, 929.98
267.95, 930.15
272.27, 929.81
276.6, 929.48
280.75, 928.64
284.91, 927.81
291.89, 927.64
298.87, 927.47
302.36, 926.3
305.85, 925.13
310.34, 924.97
314.83, 924.8
318.32, 923.63
321.81, 922.46
326.13, 922.29
330.45, 922.13
333.28, 920.96
336.1, 919.79
340.92, 919.45
345.74, 919.12
347.91, 918.11
350.07, 917.11
353.89, 916.95
357.71, 916.78
360.04, 915.61
362.37, 914.44
365.19, 914.27
368.02, 914.1
370.51, 912.93
373.01, 911.76
375.83, 911.6
378.66, 911.43
381.15, 910.26
383.64, 909.09
386.3, 908.92
388.96, 908.76
391.46, 907.59
393.95, 906.42
396.11, 906.25
398.27, 906.08
400.6, 904.91
402.93, 903.74
405.25, 903.58
407.58, 903.41
409.91, 902.24
412.23, 901.07
414.89, 900.74
417.55, 900.4
419.22, 899.4
420.88, 898.4
423.2, 898.23
425.53, 898.06
427.53, 896.89
429.52, 895.72
431.68, 895.55
433.84, 895.39
436.17, 894.22
438.5, 893.05
440.49, 892.88
442.49, 892.71
444.81, 891.54
447.14, 890.37
449.63, 890.04
452.13, 889.71
453.29, 888.87
454.45, 888.03
456.95, 887.7
459.44, 887.37
461.77, 886.2
464.1, 885.03
466.26, 884.86
468.42, 884.69
470.08, 883.69
471.74, 882.69
474.24, 882.35
476.73, 882.02
479.06, 880.85
481.38, 879.68
483.38, 879.51
485.37, 879.34
487.7, 878.18
490.03, 877.01
492.19, 876.84
494.35, 876.67
496.51, 875.5
498.67, 874.33
501.0, 874.16
503.32, 874.0
505.15, 872.99
506.98, 871.99
509.47, 871.66
511.97, 871.32
514.3, 870.15
516.62, 868.98
519.28, 868.65
521.94, 868.32
523.6, 867.31
525.27, 866.31
527.59, 866.14
529.92, 865.98
531.75, 864.97
533.58, 863.97
536.07, 863.64
538.56, 863.3
540.89, 862.13
543.22, 860.96
545.88, 860.63
548.54, 860.29
550.2, 859.29
551.86, 858.29
554.19, 858.12
556.52, 857.95
559.01, 856.78
561.5, 855.61
563.83, 855.45
566.16, 855.28
568.32, 854.11
570.48, 852.94
573.14, 852.77
575.8, 852.61
578.12, 851.44
580.45, 850.27
582.95, 850.1
585.44, 849.93
587.1, 848.93
588.76, 847.93
591.76, 847.59
594.75, 847.26
597.07, 846.09
599.4, 844.92
602.56, 844.75
605.72, 844.59
608.38, 843.42
611.04, 842.25
614.2, 842.08
617.35, 841.91
619.35, 840.91
621.34, 839.91
625.0, 839.57
628.66, 839.24
631.15, 838.07
633.64, 836.9
637.3, 836.73
640.96, 836.56
643.95, 835.39
646.94, 834.22
651.1, 834.06
655.25, 833.89
658.58, 832.72
661.9, 831.55
665.89, 831.38
669.88, 831.22
672.87, 830.05
675.86, 828.88
682.85, 828.71
689.83, 828.54
694.98, 827.37
700.13, 826.2
724.4, 825.53
748.67, 824.87
752.33, 825.37
755.98, 825.87
767.29, 826.04
778.59, 826.2
781.08, 827.21
783.58, 828.21
789.06, 828.54
794.55, 828.88
797.21, 829.88
799.87, 830.88
804.69, 831.22
809.51, 831.55
812.0, 832.72
814.49, 833.89
817.49, 834.06
820.48, 834.22
823.14, 835.39
825.8, 836.56
828.62, 836.73
831.45, 836.9
832.95, 837.9
834.44, 838.9
836.93, 839.24
839.43, 839.57
840.92, 840.57
842.42, 841.58
844.91, 841.91
847.41, 842.25
848.9, 843.25
850.4, 844.25
852.56, 844.59
854.72, 844.92
856.38, 846.09
858.05, 847.26
859.38, 847.43
860.7, 847.59
862.53, 848.76
864.36, 849.93
865.86, 850.27
867.35, 850.6
868.52, 851.44
869.68, 852.27
871.84, 852.94
874.0, 853.61
875.0, 854.45
876.0, 855.28
877.16, 855.61
878.32, 855.95
881.48, 857.95
884.64, 859.96
888.63, 861.8
892.62, 863.64
893.62, 864.64
894.61, 865.64
896.11, 866.14
897.61, 866.64
898.77, 867.65
899.93, 868.65
902.59, 869.99
905.25, 871.32
914.73, 878.68
